timestamp,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8
1762942314.1022758,-41.89,-12.9,-45.5,30.61,23.68,76.11,52.04,-27.23
1762942314.326991,-56.29,48.39,38.61,-34.21,-7.18,59.64,-25.04,16.43
1762942314.536028,-31.77,24.7,-13.02,11.28,57.61,-64.8,-22.13,-55.43
1762942314.743608,40.7,-74.53,41.27,-9.91,-31.03,58.92,54.56,-48.03
1762942314.9597561,53.53,19.17,41.77,27.73,-54.54,-22.31,26.73,27.14
1762942315.1680977,18.84,70.67,60.81,42.76,-53.67,-52.62,-1.95,-30.97
1762942315.3756752,-5.88,10.79,36.72,-66.05,50.23,-5.39,-43.2,-7.03
1762942315.5823138,-50.18,20.99,6.05,48.79,-49.72,20.53,-14.16,-70.66
1762942315.790852,-75.97,-10.57,-29.13,-54.89,6.66,78.95,-73.67,56.27
1762942316.0153236,-64.83,-62.11,-29.06,15.76,-50.31,21.51,43.41,38.16
1762942316.2392182,-68.11,-7.92,5.31,-48.17,-3.2,17.07,61.28,77.63
1762942316.4718964,-13.03,-23.96,-20.46,30.28,59.42,-11.31,-70.15,-76.3
1762942316.6986108,35.17,-47.05,10.71,-31.34,-58.43,65.13,73.88,-57.19
1762942316.912608,-62.18,6.14,-47.46,-20.52,69.53,75.13,42.06,-4.88
1762942317.1360638,-24.08,-66.58,-35.89,-4.3,-37.5,40.16,-51.6,66.47
1762942317.344687,6.67,42.01,-50.19,59.21,69.64,76.36,50.62,-55.72
1762942317.5513587,19.95,-30.26,5.29,73.88,48.83,14.64,8.2,44.08
1762942317.7577593,79.67,21.82,65.4,-25.79,-39.75,70.54,-71.81,-18.11
1762942317.9645333,51.91,72.87,42.31,-21.22,-7.0,-14.65,-38.13,77.06
1762942318.1719801,-45.82,28.26,62.37,50.2,-23.11,46.34,-79.79,26.46
1762942318.3794935,-55.71,-39.42,3.49,-34.84,-65.9,13.8,1.21,-70.16
1762942318.587759,33.36,-24.6,-55.83,-0.33,-56.07,0.78,3.56,69.83
1762942318.794881,-31.04,41.14,-18.8,31.54,-13.71,-13.63,-71.5,52.46
1762942319.0035,-48.83,-32.11,44.63,-72.61,61.51,46.91,-25.34,-53.61
1762942319.2115479,-1.71,75.18,-65.19,67.79,-16.5,-12.61,-77.73,-63.02
1762942319.4200907,-8.24,17.52,-35.7,78.11,60.07,75.02,45.92,55.74
1762942319.6286254,-17.8,-55.34,-56.66,-59.34,75.96,12.15,-20.43,-19.4
1762942319.836715,-19.84,-13.58,32.95,48.64,-33.7,18.56,31.53,-10.45
1762942320.045259,41.7,-32.36,-20.31,49.37,-18.4,-70.73,-4.18,74.65
1762942320.2556884,-0.08,-77.15,-0.33,-62.54,55.36,46.27,-31.6,-44.14
1762942320.463967,-12.3,58.19,57.1,-51.97,-67.12,63.4,52.74,51.31
1762942320.6753483,-77.25,67.14,-54.01,-38.08,66.99,-10.75,14.71,-38.39
1762942320.8993971,1.23,71.87,-79.63,57.98,-22.3,11.19,29.63,-64.72
1762942321.108912,15.72,-34.82,-44.27,0.65,44.49,47.81,-9.43,79.57
1762942321.309685,26.61,-57.9,-60.96,28.21,-5.97,-27.51,-42.9,41.61
1762942321.522882,74.38,3.6,55.09,-65.14,-22.08,-66.94,45.1,23.55
1762942321.7302244,10.12,-24.9,77.62,-29.13,-35.76,74.76,-57.81,-8.27
1762942321.9420571,-17.23,31.43,32.71,-40.26,-70.99,-43.53,-4.23,55.24
1762942322.1514874,79.58,-56.25,-48.77,-64.28,59.92,-0.64,-42.81,-0.75
1762942322.379017,14.82,35.53,-24.0,48.48,43.96,-38.63,37.94,28.01
1762942322.5943875,69.24,-59.54,48.04,-49.1,73.5,-65.11,62.01,17.19
1762942322.8110836,-52.75,-36.76,6.07,71.81,-28.44,33.28,16.54,-46.48
1762942323.0321121,41.8,67.06,62.02,-3.6,-49.88,-44.35,-77.49,77.17
1762942323.2466612,-25.09,31.13,-48.02,-11.04,-13.05,41.68,54.32,16.72
1762942323.4544744,26.0,-70.72,68.94,15.18,78.97,-10.41,68.11,25.64
1762942323.6588166,-27.35,-71.14,-21.86,11.83,-55.49,-12.88,48.58,-63.93
1762942323.8641808,-44.44,-10.69,10.68,62.85,50.07,-70.24,-7.09,35.57
1762942324.0699933,53.02,62.83,32.0,-79.23,11.64,-2.27,-6.43,-4.65
1762942324.2822156,65.62,36.31,67.6,68.88,56.46,19.77,-72.34,69.84
1762942324.4961677,17.35,-63.12,-70.54,-55.38,-4.84,73.14,23.89,-75.67
1762942324.715278,1.8,-45.28,-13.22,23.86,-33.79,24.17,43.08,-62.01
1762942324.924407,-63.1,59.79,73.81,-28.35,45.7,-30.51,9.31,-28.77
